viewer_uid,age,sex,age_class
2255,19,male,1
12048,45,male,2
59770,30,female,3
6869,29,male,2
52269,36,male,2
16859,48,female,1
6858,36,male,1
102,22,male,1
18165,44,male,3
1793,25,female,1
4663,36,male,0
46536,49,female,0
41688,38,male,1
50708,59,female,3
53808,25,female,2
56225,21,male,0
44103,33,male,0
43573,25,male,2
16072,56,male,3
1440,22,female,3
37263,48,male,2
59529,56,female,2
43591,31,male,1
22546,40,male,2
27231,25,male,3
28278,21,male,3
56042,57,female,0
42409,10,female,3
51618,32,female,2
10396,11,male,2
20651,10,female,0
55630,30,male,0
41461,13,female,3
54356,15,female,2
35233,22,female,0
11899,37,male,1
30304,20,male,2
8017,30,female,2
17447,10,male,3
10913,60,male,0
47315,30,male,0
27713,51,female,2
5371,58,female,2
23357,13,male,2
27111,39,female,0
23026,20,male,0
44576,34,female,2
19767,53,male,3
192,25,female,1
37719,45,female,3
18313,31,male,3
3931,21,female,1
13325,22,female,3
17516,12,male,3
57141,38,male,1
20506,56,male,2
22906,46,female,2
3121,45,female,1
6901,24,male,2
3002,10,male,2
49762,15,female,0
37512,29,male,1
6981,37,male,0
27755,32,female,3
39994,24,female,2
50308,10,female,3
47357,27,female,0
5006,18,male,3
51802,60,female,3
29248,49,female,3
46183,59,female,2
41159,53,male,0
27969,39,female,0
34649,25,male,3
4988,41,male,0
22509,19,female,2
36911,25,male,0
11497,29,female,3
43307,11,female,3
20621,39,male,0
9543,30,male,0
3007,58,male,0
36542,54,female,2
16650,42,female,1
6548,33,female,2
6531,19,male,1
8746,10,male,3
44926,54,female,3
6659,32,female,2
30591,39,female,1
17496,51,female,0
2234,53,female,0
46999,35,female,3
18837,11,female,2
1991,10,female,3
29114,17,male,3
39415,12,male,2
35421,14,male,0
32196,20,female,3
23764,46,female,0
6702,30,female,0
59662,35,female,3
26407,53,male,3
9265,12,male,2
54061,60,female,3
41073,28,female,0
16050,16,female,2
42513,10,male,1
5738,15,male,1
49337,10,male,3
1056,31,female,0
16655,51,male,3
39902,55,female,2
23196,46,female,2
31500,27,male,3
2398,43,male,0
13552,55,female,2
16248,13,female,0
57977,51,male,3
16502,49,female,2
28037,27,male,1
14690,15,female,3
23830,38,male,1
29363,35,male,2
29506,19,female,0
22024,18,female,0
6979,25,male,3
4558,20,male,2
30581,49,male,1
30482,17,female,0
34333,17,female,0
58787,39,male,3
29952,24,female,3
48534,20,male,3
38282,13,male,1
50335,15,female,2
34356,46,male,0
51664,19,male,2
24289,15,female,3
26702,57,female,2
50296,44,female,2
25300,49,male,0
46095,28,male,3
37889,10,female,2
8504,43,female,3
13191,52,male,2
119,50,female,0
34236,46,female,0
53739,10,male,2
19982,37,male,3
21943,38,female,2
36748,15,male,3
15929,13,female,2
51945,15,male,0
7667,18,female,3
43045,50,male,1
39394,30,male,3
46201,33,male,3
31725,47,female,3
56388,56,female,0
58642,42,male,3
37679,58,male,2
1337,48,male,1
48439,48,female,3
31401,39,male,0
46702,24,female,3
42156,27,male,0
5304,56,male,3
42835,49,male,3
9157,36,female,2
55576,25,female,3
47518,51,male,0
8507,40,male,0
19222,56,female,1
59534,42,male,3
49450,50,female,1
1329,11,female,3
18139,33,female,3
33536,19,male,3
47499,25,male,1
23841,41,female,0
40339,54,female,3
24228,15,male,1
25318,50,female,2
16602,40,female,2
41361,24,male,1
43676,57,male,2
51488,45,male,3
29214,32,male,1
53961,26,male,3
41005,42,male,1
23761,21,male,3
19319,53,female,3
18306,12,female,2
53433,55,male,0
25799,17,male,2
15671,23,female,1
32045,58,female,0
42491,36,female,3
35984,45,male,3
28267,27,female,3
4749,46,male,2
34044,57,female,0
10527,12,male,3
7897,26,male,0
13239,56,female,3
49253,45,female,2
9845,21,female,3
15816,34,male,0
58969,14,female,2
15743,21,female,3
37781,26,male,0
37240,49,female,3
9734,57,male,3
6847,23,female,1
6323,52,male,3
48702,12,female,1
8223,16,female,3
1697,26,female,3
52930,20,female,3
34471,12,male,3
43849,36,female,1
50324,59,female,3
23663,17,female,2
6384,35,male,3
23310,58,female,2
29886,18,female,2
41203,52,female,3
6015,21,male,1
10688,35,male,0
278,35,female,1
32303,12,female,0
22974,23,female,0
46543,37,female,2
24861,59,male,1
47556,23,male,3
45077,27,male,3
37543,56,female,0
33467,30,male,3
53495,23,female,1
57770,23,male,3
57650,24,female,3
43607,37,female,3
1439,17,male,2
40566,35,male,0
18687,28,male,0
5107,53,male,0
13776,46,male,3
55924,51,male,3
33595,51,female,3
9009,60,male,2
46645,60,female,2
3305,15,female,1
6135,33,female,3
11713,54,female,3
13219,38,male,3
38379,16,female,0
50197,34,male,1
29316,59,male,3
16086,44,female,0
24278,25,male,1
31653,51,female,1
54635,30,female,3
11103,20,female,3
37348,18,male,2
56050,54,male,0
23298,53,female,3
26500,25,male,3
831,17,male,0
14375,56,female,0
9209,25,male,3
58830,42,male,3
48670,43,female,3
44760,20,female,0
50725,13,male,3
18400,21,female,3
35045,23,male,3
15618,15,male,3
15184,22,female,1
43802,43,male,3
2333,19,male,1
16733,57,male,3
40283,60,female,0
11662,43,female,3
3526,19,female,3
48854,54,female,3
51183,10,female,1
49261,53,male,0
42153,51,male,1
46257,44,female,0
11557,10,male,0
50178,23,male,3
50317,47,female,3
4525,36,female,2
51335,57,male,1
40503,19,female,1
33694,46,female,1
43498,54,male,3
3428,46,male,1
57061,52,male,0
43214,45,female,2
29282,57,male,3
43650,38,female,3
33776,60,female,3
3400,46,male,2
22955,38,female,2
36714,20,male,2
27598,48,female,3
44704,19,female,3
34059,56,male,1
34918,51,male,1
22708,51,female,3
42181,22,male,3
51846,43,female,2
41266,28,male,2
21475,17,female,0
7099,16,male,3
26043,59,male,1
31215,25,female,1
53837,37,female,2
7,29,female,0
43799,36,female,0
17890,39,female,2
58080,20,female,3
35252,57,male,3
39969,42,female,0
4909,28,male,0
39650,46,male,2
23770,22,female,3
38357,36,female,0
51682,20,female,3
13904,18,male,3
18621,19,female,1
31324,17,male,2
52794,58,female,0
33466,50,female,1
24699,48,female,1
23637,41,male,2
14352,59,female,2
18183,15,male,3
5010,31,male,0
39353,28,male,3
48930,47,female,3
22950,23,female,0
48829,56,male,2
28830,40,female,1
55738,46,male,1
6232,42,male,2
13305,41,male,0
44706,43,male,3
34916,17,male,1
17250,55,male,3
35699,32,male,3
11936,28,female,3
52766,26,male,3
44551,57,male,0
11307,47,female,3
58223,30,male,1
10147,12,female,0
15052,11,male,3
35900,22,female,3
39873,43,female,1
53103,40,male,1
48554,15,female,0
14208,52,female,1
51700,20,male,1
58125,22,male,0
10492,10,female,3
39343,46,female,3
30026,34,female,1
16722,23,female,3
48478,53,female,3
10680,30,male,2
34291,13,female,3
11885,37,female,1
59129,43,male,3
29042,24,female,0
12747,40,female,2
55180,25,male,2
36495,56,female,3
45705,53,male,3
57021,15,female,2
7882,52,female,1
39083,17,male,2
55676,11,female,0
50053,55,female,2
58929,33,male,3
29046,35,female,1
57639,53,female,3
56542,29,male,3
44429,12,male,2
31659,28,female,0
3880,45,male,0
14279,11,female,1
41145,20,female,0
14339,42,male,2
22879,28,male,0
42914,45,male,3
44862,49,female,1
35004,53,male,1
10940,10,female,3
46524,29,female,2
41240,49,male,1
25207,29,male,3
49155,45,male,0
27587,19,male,3
15750,54,female,0
1763,39,female,0
38726,51,female,3
43054,50,female,2
42383,20,male,0
58356,23,female,2
35981,31,female,3
44679,56,female,3
8620,28,female,3
22302,24,female,2
8479,20,female,3
22055,37,male,0
20646,42,female,3
45025,22,male,3
16334,24,male,2
31609,20,male,1
56147,22,female,0
23921,49,female,1
461,52,male,2
13079,13,female,3
17836,23,male,3
44246,23,male,3
52579,15,male,1
35083,55,male,0
23544,24,female,0
26680,45,male,1
9885,46,female,3
55952,41,male,2
6780,13,female,2
13773,52,female,3
45087,24,male,3
12500,38,female,1
19644,19,male,2
17087,52,female,2
51142,47,female,3
38532,38,male,1
42209,21,female,3
55386,60,male,0
39444,59,female,2
86,35,female,0
30389,33,female,3
49273,29,male,2
55339,47,male,3
11974,42,male,3
48379,51,female,2
19867,11,male,1
48241,14,male,3
526,53,male,3
14284,19,male,0
37228,15,female,1
22154,57,male,3
2049,18,female,3
30207,22,male,3
4708,33,male,2
36381,26,male,0
33048,38,male,0
26452,40,male,0
17335,55,female,2
48859,31,female,0
34911,35,female,3
25187,45,male,1
11975,12,male,1
29697,49,female,3
19193,20,female,3
1832,23,female,2
31101,52,female,3
45056,50,female,0
1876,45,male,1
28077,56,male,3
2810,16,male,2
59431,30,female,0
11406,33,female,0
15295,49,female,0
11537,38,female,1
10392,46,female,2
59977,12,female,0
48419,14,female,0
37337,20,male,3
53743,30,male,0
34118,38,male,3
56076,46,male,0
14091,29,male,1
9648,37,female,1
42131,56,male,3
23136,38,male,3
55446,21,female,2
12516,54,male,3
48587,31,female,3
44418,56,female,3
8908,13,female,0
49042,24,female,0
9586,27,female,3
38514,11,female,2
42072,46,male,0
12425,36,female,3
53957,52,male,3
55057,34,male,0
51471,23,female,3
15378,51,male,1
48391,44,male,3
32636,59,male,3
5949,30,female,2
28516,35,female,1
7110,14,female,1
13922,18,male,1
53883,50,male,0
47400,51,male,2
15792,24,male,3
50459,24,male,2
37141,23,female,0
45916,11,female,1
16197,56,female,3
2991,55,male,3
46772,33,male,1
30560,19,male,0
49720,33,female,2
58185,41,female,0
58350,34,male,1
41522,46,female,0
22298,36,male,3
17954,27,male,3
19306,44,female,0
43430,40,male,2
57623,47,male,3
30199,22,female,3
25125,30,male,0
5155,26,male,2
24578,15,male,3
30102,11,male,2
13498,24,female,1
20916,34,female,2
32649,41,male,3
14958,36,male,2
43536,37,male,3
51726,31,female,3
15894,58,female,1
54297,55,female,2
33656,39,male,3
35904,57,male,1
8859,44,female,3
45152,42,female,3
2882,23,male,3
54403,57,female,1
56518,14,male,2
22683,12,female,0
21202,54,male,3
13680,26,male,1
45566,28,female,0
47658,36,female,3
50189,43,male,3
30525,40,male,2
39130,44,female,1
34121,46,female,0
21619,54,male,3
13276,28,female,1
12728,17,male,3
16286,57,male,3
52711,13,male,1
37838,40,male,2
4246,27,female,3
34434,50,female,1
30430,43,male,2
59237,21,female,0
49081,50,female,0
29950,22,male,1
28528,54,female,1
48878,55,male,3
25148,14,female,3
49874,36,male,0
34399,57,male,0
1107,42,female,2
21149,45,female,1
58579,54,female,1
49630,57,male,0
37179,54,female,3
27037,51,male,1
470,34,male,2
8396,13,female,2
24090,56,female,1
19160,38,female,2
37580,40,female,1
38305,33,female,1
51408,45,female,3
59616,42,male,3
9920,47,female,1
19338,57,male,3
46669,36,female,1
16637,15,female,1
20442,34,female,3
18799,59,female,0
36906,24,male,0
56182,40,female,2
34325,11,male,1
14796,36,male,3
15235,57,male,0
58395,54,male,2
32670,51,female,3
10917,56,female,3
8117,21,male,2
26847,23,female,3
59029,49,male,3
47915,11,female,0
6886,14,female,3
47864,59,male,3
32883,10,male,3
46316,40,female,3
32944,39,female,2
19054,40,male,1
24680,40,male,1
31754,21,female,0
24556,26,male,2
19423,38,male,0
15931,11,female,2
2801,38,female,1
50873,20,female,3
4295,45,female,2
24117,19,male,0
38036,44,male,1
27241,49,male,2
59610,18,female,1
33110,26,male,3
50691,42,male,1
41729,60,male,1
12974,31,male,0
50650,53,female,3
53744,56,female,2
13096,46,male,0
47794,39,female,1
33612,18,male,3
45196,25,male,3
27052,19,male,0
15456,14,female,0
12166,39,female,1
22761,22,male,0
56757,30,female,0
1873,27,male,3
1939,35,female,2
45632,33,female,3
52972,60,male,3
55648,58,female,0
41752,22,female,3
17018,47,male,1
58214,48,male,2
48088,51,female,0
34232,55,male,1
15588,38,female,0
10046,60,male,0
5991,37,female,3
5356,20,male,1
26303,11,male,3
15020,34,female,1
42450,12,male,3
29736,54,male,3
19893,46,male,1
25469,47,male,1
43126,55,female,3
30943,34,male,2
28871,33,male,3
3043,17,female,3
5717,16,female,0
48118,53,male,1
53246,12,female,3
37581,19,male,0
30,53,female,3
22215,38,male,3
956,50,female,3
51613,21,female,3
7323,11,female,2
29602,20,male,3
54615,10,male,3
32907,35,male,1
5943,60,male,3
50355,37,female,2
53460,41,male,3
48363,34,female,3
34833,14,male,0
2875,50,male,3
12115,21,male,0
19027,52,female,0
528,60,male,2
18610,29,female,2
38039,26,female,3
13143,47,female,3
24723,58,female,0
7368,23,male,3
46092,58,female,3
15764,12,female,3
14456,26,male,3
18393,25,male,3
54576,11,male,0
18028,38,male,1
24853,23,female,1
12604,31,female,0
42727,22,male,1
31080,54,female,0
32847,18,female,3
35737,29,female,2
42446,12,male,3
29998,37,female,0
6711,56,male,0
4256,57,male,0
34111,37,male,0
16214,57,male,3
23413,40,female,3
10720,35,male,2
29483,20,female,1
15270,60,male,3
56891,31,male,2
51736,27,male,3
12003,16,male,1
34215,36,male,3
12731,51,female,2
19832,48,female,1
47679,31,female,2
7372,27,female,3
28121,28,female,2
32213,31,female,3
40105,53,female,3
44436,55,female,0
1407,48,male,1
36225,30,male,3
21737,32,male,3
12373,22,male,2
36946,47,male,0
47715,42,male,0
53773,23,male,0
52486,38,male,3
15217,50,male,3
36536,48,female,0
16009,18,male,0
19370,39,male,3
10586,25,female,0
21496,52,female,0
36020,59,female,3
19463,39,male,0
4725,58,female,0
1510,44,female,3
2409,54,female,2
43304,56,female,3
43153,55,male,2
3282,17,female,2
2674,10,female,3
34222,45,female,2
44930,52,male,3
36405,14,female,2
9590,48,male,3
55100,42,female,0
32867,33,female,3
52178,56,male,0
15387,25,male,1
7505,20,male,3
57242,22,female,3
41009,24,female,1
39295,20,female,0
22680,30,male,1
44678,44,female,1
49540,30,male,0
1889,44,male,3
17729,53,female,1
23258,10,female,2
51603,60,male,3
15227,27,male,0
48011,24,female,3
25624,42,female,3
17475,57,female,1
1868,54,male,0
43129,30,female,3
11394,16,male,3
43552,20,male,3
30798,11,female,3
42680,16,female,2
22101,58,male,0
54225,57,male,3
1177,13,female,0
9723,32,male,0
19769,59,female,0
35576,13,male,3
40089,25,female,1
37284,12,male,3
55837,51,male,3
51500,33,male,3
36987,38,male,3
27718,14,male,3
44174,30,female,3
43851,50,male,0
25477,14,male,2
660,56,male,3
49738,20,female,3
27236,56,female,2
27329,41,male,2
30626,41,female,2
40400,58,male,3
28710,52,male,3
49025,11,male,3
42702,56,female,3
22808,24,male,1
54293,47,male,3
23600,24,female,1
13235,19,male,2
54581,13,female,1
20303,50,female,3
24129,45,female,2
16059,22,male,2
272,15,female,3
22582,28,male,3
14862,33,male,1
